Attack_Type,N,IF_flagged,IF_rate
Benign,4987,1313,0.2632845398034891
Bot,1500,0,0.0
Brute Force -Web,611,283,0.4631751227495908
Brute Force -XSS,230,113,0.4913043478260869
DDOS attack-HOIC,1500,0,0.0
DDOS attack-LOIC-UDP,1500,1500,1.0
DDoS attacks-LOIC-HTTP,1500,0,0.0
DoS attacks-GoldenEye,1500,10,0.0066666666666666
DoS attacks-Hulk,1500,0,0.0
DoS attacks-SlowHTTPTest,1500,0,0.0
DoS attacks-Slowloris,1500,1114,0.7426666666666667
FTP-BruteForce,1500,0,0.0
Infilteration,1467,251,0.1710974778459441
SQL Injection,87,24,0.2758620689655172
SSH-Bruteforce,1500,1500,1.0
